seed,mAP50,mAP50_95,precision,recall,training_time_sec,gpu_memory_gb,model_size_mb,early_stopping,experiment
0,0.7051,0.37871,0.67308,0.63386,1214.714988231659,0.31929445266723633,5.925936698913574,True,freeze_10_v1_320px_AdamW_cos_lr_freeze_
1,0.70296,0.37851,0.70821,0.59586,1212.8963344097137,0.31825876235961914,5.925936698913574,True,freeze_10_v1_320px_AdamW_cos_lr_freeze_
2,0.71442,0.38332,0.72698,0.6157,1051.951375246048,0.31825876235961914,5.924960136413574,True,freeze_10_v1_320px_AdamW_cos_lr_freeze_
