seed,mAP50,mAP50_95,precision,recall,training_time_sec,gpu_memory_gb,model_size_mb,early_stopping,experiment
0,0.71611,0.38223,0.64833,0.67263,3622.548861026764,0.4572625160217285,5.365694999694824,True,P3_SPD_YOLO__320px_AdamW_cos_lr_120epochs
1,0.73086,0.39028,0.67096,0.70544,3247.846175432205,0.45731019973754883,5.365328788757324,True,P3_SPD_YOLO__320px_AdamW_cos_lr_120epochs
2,0.72334,0.383,0.69716,0.64487,3310.885274887085,0.45731019973754883,5.365694999694824,True,P3_SPD_YOLO__320px_AdamW_cos_lr_120epochs
