seed,mAP50,mAP50_95,precision,recall,training_time_sec,gpu_memory_gb,model_size_mb,early_stopping,experiment
0,0.7586,0.43185,0.68497,0.73356,3118.048401117325,0.5589146614074707,5.944796562194824,True,freeze_5_v1_480px_Adam_cos_lr_freeze_
1,0.76834,0.43879,0.70546,0.72633,2815.9487855434418,0.5566906929016113,5.944918632507324,True,freeze_5_v1_480px_Adam_cos_lr_freeze_
2,0.75257,0.41975,0.71231,0.70053,1940.4254047870636,0.5566906929016113,5.941866874694824,True,freeze_5_v1_480px_Adam_cos_lr_freeze_
