seed,mAP50,mAP50_95,precision,recall,training_time_sec,gpu_memory_gb,model_size_mb,early_stopping,experiment
0,0.73212,0.41175,0.72513,0.6655,1226.8909566402435,0.36310243606567383,5.925448417663574,True,freeze_5_v1_320px_Adam_cos_lr_freeze_
1,0.74201,0.40162,0.67624,0.68825,1230.7764370441437,0.3627815246582031,5.925448417663574,True,freeze_5_v1_320px_Adam_cos_lr_freeze_
2,0.76369,0.4295,0.69079,0.7247,1864.3293364048004,0.3627815246582031,5.928744316101074,True,freeze_5_v1_320px_Adam_cos_lr_freeze_
