seed,mAP50,mAP50_95,precision,recall,training_time_sec,gpu_memory_gb,model_size_mb,early_stopping,experiment
0,0.73225,0.3976,0.7016,0.69691,2120.014829158783,0.47741270065307617,5.943331718444824,True,freeze_10_v1_480px_AdamW_cos_lr_freeze_10
1,0.73211,0.4023,0.71618,0.67072,1813.1991121768951,0.47549915313720703,5.941988945007324,True,freeze_10_v1_480px_AdamW_cos_lr_freeze_10
2,0.72188,0.40001,0.68869,0.67855,2603.1770882606506,0.4766058921813965,5.944918632507324,True,freeze_10_v1_480px_AdamW_cos_lr_freeze_10
