epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4106.75,1.26505,1.53986,1.4109,0.65222,0.69524,0.72096,0.40709,1.43271,1.78464,1.55881,0.000307,0.000307,0.000307
44,4199.76,1.26079,1.5549,1.42544,0.65295,0.69377,0.72206,0.41939,1.40799,1.75962,1.53551,0.0002905,0.0002905,0.0002905
45,4291.98,1.23204,1.5207,1.39955,0.69455,0.68601,0.73354,0.4247,1.41338,1.7561,1.52724,0.000274,0.000274,0.000274
46,4383.66,1.26515,1.52566,1.4141,0.67204,0.69441,0.72554,0.41983,1.41581,1.75571,1.54429,0.0002575,0.0002575,0.0002575
47,4475.52,1.26003,1.54449,1.4102,0.68021,0.69461,0.73885,0.42603,1.40689,1.73129,1.52632,0.000241,0.000241,0.000241
48,4570.26,1.26554,1.53319,1.41327,0.66611,0.70951,0.72915,0.42067,1.41402,1.7404,1.5375,0.0002245,0.0002245,0.0002245
49,4673.99,1.25049,1.52403,1.40559,0.69264,0.69081,0.72538,0.4198,1.40857,1.75322,1.53313,0.000208,0.000208,0.000208
50,4765.36,1.24847,1.52997,1.39655,0.6691,0.68701,0.72651,0.42254,1.40199,1.73568,1.52513,0.0001915,0.0001915,0.0001915
51,4854.85,1.32042,1.83042,1.50573,0.6785,0.67086,0.73055,0.41898,1.42397,1.76353,1.56016,0.000175,0.000175,0.000175
52,4943.31,1.28237,1.77038,1.49285,0.67277,0.68799,0.7347,0.42171,1.42155,1.74699,1.53924,0.0001585,0.0001585,0.0001585
53,5032.37,1.26793,1.7442,1.48199,0.69033,0.67331,0.7377,0.43198,1.41352,1.73711,1.54065,0.000142,0.000142,0.000142
54,5121.18,1.26098,1.7288,1.47038,0.72585,0.65947,0.74355,0.43137,1.40404,1.72183,1.53128,0.0001255,0.0001255,0.0001255
55,5209.67,1.24164,1.68249,1.45118,0.6802,0.68537,0.7405,0.43034,1.39894,1.7158,1.53527,0.000109,0.000109,0.000109
56,5298.06,1.23816,1.71002,1.4626,0.70425,0.6746,0.74308,0.43448,1.39508,1.70749,1.52939,9.25e-05,9.25e-05,9.25e-05
57,5386.61,1.23343,1.67202,1.4577,0.72238,0.68347,0.74628,0.43492,1.39226,1.6981,1.52993,7.6e-05,7.6e-05,7.6e-05
58,5475.33,1.23869,1.67391,1.45727,0.73142,0.67085,0.74454,0.43651,1.39695,1.70137,1.53255,5.95e-05,5.95e-05,5.95e-05
59,5563.84,1.23137,1.67548,1.44601,0.75945,0.64461,0.73542,0.43781,1.39052,1.70864,1.52491,4.3e-05,4.3e-05,4.3e-05
60,5652.59,1.22856,1.70173,1.4583,0.70767,0.68497,0.74602,0.43684,1.3907,1.6966,1.5264,2.65e-05,2.65e-05,2.65e-05
